"index","imdb_title_id","title","year","genre","duration","country","director","production_company","budget","total_votes","median_vote","18andunder","under30","under45","males","malesunder18","malesunder30","malesunder45","females","femalesunder18","femalesunder30","femalesunder45"
"4426","tt3591696","The Dark Below","2015","Horror","75","USA","Douglas Schulze","Dead Wait Productons",750000,"250","5","4.4","4.1","4.3","4","4.4","3.7","4.2","5.2","3.9","5.6","5.6"
"4427","tt3594042","The Interrogation of Cheryl Cooper","2014","Horror","70","USA","Albert Pyun","Freezer Burn",500000,"136","9","7.4","5.6","5.7","5.8","9.8","5.6","5.4","5.6","5.9","5.5","5.6"
"4428","tt3602128","Night of the Living Deb","2015","Comedy","85","USA","Kyle Rankin","Cocksure Entertainment",100000,"3245","6","5.4","5.4","5.7","5.4","5.4","5.3","5.6","5.8","5.4","5.9","6.4"
"4429","tt3602588","Allegiance of Powers","2016","Sci-Fi","83","USA","Michael Crum","MGI Films",2000,"276","7","4.3","2","2.3","2.3","4.3","1.9","2.2","3.6","7.7","2.6","3.6"
"4430","tt3603104","Blood Sombrero","2016","Action","86","USA","Abel Berry","Entertainment One",400000,"169","5","3.7","3.7","3.8","3.6","3.2","3.8","3.6","5.2","9","2","9.8"
"4431","tt3606752","Cars 3","2017","Animation","102","USA","Brian Fee","Pixar Animation Studios",175000000,"63811","7","6.8","6.7","6.6","6.7","6.8","6.6","6.6","7","7","6.9","6.9"
"4432","tt3606756","Incredibles 2","2018","Animation","118","USA","Brad Bird","Walt Disney Pictures",200000000,"219133","8","7.8","7.5","7.6","7.6","7.7","7.5","7.5","7.8","8","7.6","7.8"
"4433","tt3609458","Milfs vs. Zombies","2015","Comedy","104","USA","Brad Twigg","Fuzzy Monkey Films",1500,"244","3","1.7","2.8","3.3","2.6","1.6","2.8","2.8","4","3","2.9","6"
"4434","tt3614530","Jem and the Holograms","2015","Adventure","118","USA","Jon M. Chu","Allspark Pictures",5000000,"6887","5","4.3","4","3.9","3.6","3.5","3.6","3.7","4.9","5.2","4.7","4.5"
"4435","tt3616894","The Chemist","2016","Action","102","USA","Art Camacho","Throwing Star Films",1000000,"182","3","3.5","3.3","3.7","3.4","3.2","3.3","3.7","4.2","7.5","3.3","4.6"
"4436","tt3620452","Don't Fuck in the Woods","2016","Horror","73","USA","Shawn Burkett","Concept Media",10000,"947","2","2.5","2.6","2.9","2.6","2.5","2.6","2.9","2.7","2.8","3","2.6"
"4437","tt3622592","Paper Towns","2015","Comedy","109","USA","Jake Schreier","Fox 2000 Pictures",12000000,"89726","6","6.4","6.2","6.2","6.3","6.4","6.3","6.2","6.2","6.2","6","6"
"4438","tt3623726","Ricki and the Flash","2015","Comedy","101","USA","Jonathan Demme","Clinica Estetico",18000000,"21340","6","6","5.9","6","5.8","5.9","5.8","5.9","6.1","6.1","6","6.2"
"4439","tt3625352","Summer of Blood","2014","Comedy","86","USA","Onur Tukel","Factory 25",35000,"1015","6","5.4","5.6","5","5.4","5.5","5.6","5","5.2","5.2","5.3","4.9"
"4440","tt3628584","Barbershop: The Next Cut","2016","Comedy","111","USA","Malcolm D. Lee","Cube Vision",20000000,"13561","6","6","5.7","5.6","5.8","6.1","5.7","5.5","5.9","5.9","5.8","6.1"
"4441","tt3635788","Halloweed","2016","Comedy","101","USA","LazRael Lison","J&R Productions",450000,"526","4","3.8","3.5","3.4","3.5","3.8","3.5","3.4","3.7","3.8","3.7","3.9"
"4442","tt3640682","I Smile Back","2015","Drama","85","USA","Adam Salky","Egoli Tossell Film",495000,"4710","6","6.3","6","6.2","6.1","6.3","6","6.2","6.2","6.2","6.2","6.4"
"4443","tt3652098","Bikini Swamp Girl Massacre","2014","Horror","83","USA","Aiden Dillard","Accord Productions",50000000,"161","3","2.6","2.4","3.9","2.8","2.5","2.5","3.4","2.8","2.8","1","4"
"4444","tt3652766","The Tragedy","2015","Drama","103","USA","Ersen Denk","Silver Spear Pictures",1000000,"114","9","1.5","4.2","9.4","3.1","1.3","4.2","9.6","3.8","3.2","3.6","9"
"4445","tt3658772","Misconduct","2016","Crime","106","USA","Shintaro Shimosawa","Mike and Marty Productions",11000000,"13993","6","5.5","5.3","5.3","5.3","5.4","5.3","5.3","5.4","5.5","5.3","5.5"
